16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 28 拼接成功，已更新最新帧数据
16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 28 已成功拼接，准备显示
16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 29，当前帧 28 已完成接收，尝试拼接上一帧
16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 28 已接收完整，尝试拼接
16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 28 拼接成功，已更新最新帧数据
16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 29，总长度 22500 字节
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 29 已接收完整，尝试拼接
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 29 拼接成功，已更新最新帧数据
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 29 已成功拼接，准备显示
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 30，当前帧 29 已完成接收，尝试拼接上一帧
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 29 已接收完整，尝试拼接
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 29 拼接成功，已更新最新帧数据
16:12:16 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 30，总长度 22500 字节
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 30 已接收完整，尝试拼接
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 30 拼接成功，已更新最新帧数据
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 30 已成功拼接，准备显示
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 31，当前帧 30 已完成接收，尝试拼接上一帧
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 30 已接收完整，尝试拼接
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 30 拼接成功，已更新最新帧数据
16:12:17 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 31，总长度 22500 字节
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 31 已接收完整，尝试拼接
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 31 拼接成功，已更新最新帧数据
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 31 已成功拼接，准备显示
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 32，当前帧 31 已完成接收，尝试拼接上一帧
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 31 已接收完整，尝试拼接
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 31 拼接成功，已更新最新帧数据
16:12:19 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 32，总长度 22500 字节
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 32 已接收完整，尝试拼接
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 32 拼接成功，已更新最新帧数据
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 32 已成功拼接，准备显示
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 33，当前帧 32 已完成接收，尝试拼接上一帧
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 32 已接收完整，尝试拼接
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 32 拼接成功，已更新最新帧数据
16:12:21 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 33，总长度 22500 字节
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 33 已接收完整，尝试拼接
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 33 拼接成功，已更新最新帧数据
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 33 已成功拼接，准备显示
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 34，当前帧 33 已完成接收，尝试拼接上一帧
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 33 已接收完整，尝试拼接
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 33 拼接成功，已更新最新帧数据
16:12:23 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 34，总长度 22500 字节
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 34 已接收完整，尝试拼接
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 34 拼接成功，已更新最新帧数据
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 34 已成功拼接，准备显示
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 35，当前帧 34 已完成接收，尝试拼接上一帧
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 34 已接收完整，尝试拼接
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 34 拼接成功，已更新最新帧数据
16:12:24 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 35，总长度 22500 字节
16:12:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 35 已接收完整，尝试拼接
16:12:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 35 拼接成功，已更新最新帧数据
16:12:26 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 35 已成功拼接，准备显示
16:12:26 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 36，当前帧 35 已完成接收，尝试拼接上一帧
